Running 131 strict-v2 EARS evidence tests
...2026-07-18 09:44:14,484 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:15,313 [WARNING] emo event=unauthorized_action result=forbidden action=broadcast.pause client_request_id=broadcast-old-authority-control user=alice source_client_id=authority-1 latency_ms=0
.2026-07-18 09:44:15,351 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:15,435 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:15,478 [WARNING] emo event=unauthorized_action result=forbidden action=playback.update client_request_id=broadcast-feedback-1 user=alice source_client_id=participant-1 latency_ms=1
2026-07-18 09:44:15,492 [WARNING] emo event=unauthorized_action result=forbidden action=broadcast.pause client_request_id=broadcast-participant-pause-1 user=alice source_client_id=participant-1 latency_ms=0
.2026-07-18 09:44:15,529 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:15,575 [ERROR] emo event=post_commit_push result=emit_failed action=broadcast.start client_request_id=broadcast-start-1 latency_ms=0
.2026-07-18 09:44:15,612 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:15,662 [ERROR] emo event=post_commit_push result=emit_failed action=broadcast.pause client_request_id=-
.2026-07-18 09:44:15,696 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:15,740 [WARNING] emo event=broadcast_queue_sync result=bad_request action=broadcast.queue.sync client_request_id=broadcast-queue-missing-queue-base user=alice source_client_id=authority-1 latency_ms=0
2026-07-18 09:44:15,741 [WARNING] emo event=broadcast_queue_sync result=bad_request action=broadcast.queue.sync client_request_id=broadcast-queue-missing-control-base user=alice source_client_id=authority-1 latency_ms=0
.2026-07-18 09:44:15,779 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
..2026-07-18 09:44:15,838 [ERROR] Strict-v2 conformance manifest is unavailable: profile core uses local-test-only evidence outside test mode
..2026-07-18 09:44:15,840 [ERROR] Strict-v2 conformance manifest is unavailable: [Errno 2] No such file or directory: '/tmp/missing-strict-v2-conformance.json'
..............2026-07-18 09:44:15,876 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:15,923 [WARNING] emo event=strict_v2_acceptance_fault result=injected user=alice latency_ms=14
2026-07-18 09:44:15,926 [ERROR] emo event=playback_context_bindings_changed result=recipient_failed user=alice authority_client_id=phone-1 authority_device_session_id=device:phone-1 recipient_count=2 failed_sid_count=1 latency_ms=16
.2026-07-18 09:44:15,967 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:16,047 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:16,300 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:16,493 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:16,542 [ERROR] emo event=playback_context_bindings_changed result=recipient_failed user=alice authority_client_id=phone-1 authority_device_session_id=device:phone-1 recipient_count=2 failed_sid_count=1 latency_ms=17
.2026-07-18 09:44:16,584 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:16,630 [ERROR] emo event=playback_context_bindings_changed result=recipient_failed user=alice authority_client_id=phone-1 authority_device_session_id=device:phone-1 recipient_count=2 failed_sid_count=1 latency_ms=16
.2026-07-18 09:44:16,676 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:16,791 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:16,885 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:16,941 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:17,049 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:17,127 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:17,171 [ERROR] emo event=settlement_emit result=emit_failed action=playback.context.ensure client_request_id=context-ensure-response-failure exception_type=RuntimeError latency_ms=16
.2026-07-18 09:44:17,206 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:17,284 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:17,378 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:17,418 [WARNING] emo event=unauthorized_action result=forbidden action=playback.context.list client_request_id=context-list-player-only user=alice source_client_id=phone-1 latency_ms=0
.2026-07-18 09:44:17,472 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:17,561 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:17,691 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:17,738 [WARNING] emo event=control_forward result=authority_offline action=player.seek client_request_id=seek-backpressure user=alice source_client_id=controller-1 latency_ms=0
.2026-07-18 09:44:17,781 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:17,834 [WARNING] emo event=control_forward result=authority_offline action=player.play client_request_id=play-after-device-replacement user=alice source_client_id=controller-1 latency_ms=0
.2026-07-18 09:44:17,876 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:17,989 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:18,012 [WARNING] emo event=device_register result=not_supported action=device.register client_request_id=register-disabled-1 latency_ms=0
.2026-07-18 09:44:18,046 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:18,070 [WARNING] emo event=strict_v2_contract_rejected result=bad_request action=auth.login client_request_id=auth-invalid-1 latency_ms=0
.2026-07-18 09:44:18,102 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:18,145 [WARNING] emo event=unauthorized_action result=forbidden action=playback.context.status client_request_id=cross-user-playback.context.status-context-1 user=bob source_client_id=bob-phone latency_ms=0
2026-07-18 09:44:18,148 [WARNING] emo event=unauthorized_action result=forbidden action=playback.context.status client_request_id=cross-user-playback.context.status-unknown-context user=bob source_client_id=bob-phone latency_ms=1
2026-07-18 09:44:18,149 [WARNING] emo event=unauthorized_action result=forbidden action=playback.context.subscribe client_request_id=cross-user-playback.context.subscribe-context-1 user=bob source_client_id=bob-phone latency_ms=0
2026-07-18 09:44:18,151 [WARNING] emo event=unauthorized_action result=forbidden action=playback.context.subscribe client_request_id=cross-user-playback.context.subscribe-unknown-context user=bob source_client_id=bob-phone latency_ms=1
.2026-07-18 09:44:18,187 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:18,249 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:18,335 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:18,368 [WARNING] emo event=device_set_volume result=not_found action=device.setVolume client_request_id=device-volume-wrong-pair-1 user=alice source_client_id=controller-2 latency_ms=0
.2026-07-18 09:44:18,411 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:18,470 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:18,567 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:18,629 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:18,747 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:18,838 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:19,004 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:19,028 [WARNING] emo event=bad_message result=bad_request reason=invalid_correlation
.2026-07-18 09:44:19,061 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:19,116 [ERROR] emo event=post_commit_push result=emit_failed action=playback.update client_request_id=playback-update-push-failure latency_ms=12
.2026-07-18 09:44:19,153 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:19,207 [ERROR] emo event=settlement_emit result=send_buffer_full action=system.ack client_request_id=queue-ack-backpressure latency_ms=13
2026-07-18 09:44:19,208 [ERROR] emo event=post_commit_push result=emit_failed action=queue.context.sync client_request_id=queue-ack-backpressure latency_ms=13
.2026-07-18 09:44:19,239 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:19,335 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:19,402 [ERROR] emo event=post_commit_push result=emit_failed action=queue.context.sync client_request_id=queue-push-failure latency_ms=13
.2026-07-18 09:44:19,441 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:19,545 [WARNING] emo event=queue_context_sync result=bad_request action=queue.context.sync client_request_id=queue-missing-control user=alice source_client_id=phone-1 latency_ms=1
.2026-07-18 09:44:19,590 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:19,780 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:19,912 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:19,969 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:19,992 [ERROR] emo event=device_register result=internal_error exception_type=RuntimeError action=device.register client_request_id=register-post-ack-failure user=alice source_client_id=phone-1 latency_ms=0
2026-07-18 09:44:19,992 [ERROR] emo event=duplicate_settlement result=suppressed action=system.error client_request_id=register-post-ack-failure latency_ms=0
.2026-07-18 09:44:20,026 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:20,136 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:20,254 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:20,337 [WARNING] Marked 1 pending strict playback controls execution_unknown after restart
2026-07-18 09:44:20,339 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:20,390 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:20,456 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:20,585 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:20,719 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:20,784 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:20,931 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:20,981 [WARNING] emo event=unauthorized_action result=forbidden action=follow.start client_request_id=follow-cross-user user=bob source_client_id=bob-player-1 latency_ms=0
.2026-07-18 09:44:21,023 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:21,071 [WARNING] emo event=unauthorized_action result=follow_control_forbidden action=player.seek client_request_id=follow-source-control-1 user=alice source_client_id=follower-1 latency_ms=0
.2026-07-18 09:44:21,106 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:21,186 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:21,266 [WARNING] emo event=strict_v2_contract_rejected result=bad_request action=playback.handoff.cancel client_request_id=handoff-cancel-session latency_ms=0
2026-07-18 09:44:21,266 [WARNING] emo event=strict_v2_contract_rejected result=bad_request action=playback.handoff.complete client_request_id=handoff-complete-session latency_ms=0
.2026-07-18 09:44:21,316 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:21,412 [ERROR] emo event=post_commit_push result=emit_failed action=playback.handoff.cancel client_request_id=handoff-cancel-push-failure latency_ms=12
2026-07-18 09:44:21,412 [ERROR] emo event=post_commit_push result=emit_failed action=playback.handoff.cancel client_request_id=handoff-cancel-push-failure latency_ms=12
.2026-07-18 09:44:21,455 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:21,557 [ERROR] emo event=post_commit_push result=emit_failed action=playback.handoff.complete client_request_id=handoff-start-1
.2026-07-18 09:44:21,597 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:21,718 [ERROR] emo event=post_commit_push result=emit_failed action=playback.handoff.complete client_request_id=handoff-complete-push-failure latency_ms=23
.2026-07-18 09:44:21,771 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:21,884 [ERROR] emo event=post_commit_push result=emit_failed action=playback.handoff.cancel client_request_id=-
.2026-07-18 09:44:21,930 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:22,042 [ERROR] emo event=post_commit_push result=emit_failed action=playback.handoff.start client_request_id=handoff-start-1
.2026-07-18 09:44:22,090 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
.2026-07-18 09:44:22,249 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:22,350 [ERROR] emo event=post_commit_push result=emit_failed action=playback.ready client_request_id=handoff-ready-commit-push-failure latency_ms=13
.2026-07-18 09:44:22,414 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
2026-07-18 09:44:22,522 [ERROR] emo event=post_commit_push result=emit_failed action=playback.ready client_request_id=handoff-ready-failed-push-failure latency_ms=16
.2026-07-18 09:44:22,570 [WARNING] emo event=strict_v2_registration_metadata protocol_version=2.4.0 schema_hash=77684c5689082b75eb2ac3daed06821cebdcae7c25536d0c977700c3bdd3d68e server_build_commit=297b07170ad9dd573469734c418419b2b5abdbb4
